CPU3  9981358664536 (+ )  rtds:job_release   [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa3f128ae9, cur_budget = 0x00000000002621b8 ]
CPU3  9981358837670 (+ )  rtds:job_release   [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa3f1295d4, cur_budget = 0x00000000002621b8 ]
CPU3  9981358838410 (+ )  rtds:job_release   [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa3f129e4f, cur_budget = 0x00000000002621b8 ]
CPU3  9981358838812 (+ )  rtds:job_release   [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa3f12a6b4, cur_budget = 0x00000000002621b8 ]
CPU3  9981392586218 (+ )  rtds:job_release   [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa3fab2169, cur_budget = 0x00000000002621b8 ]
CPU3  9981392758636 (+ )  rtds:job_release   [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa3fab2c54, cur_budget = 0x00000000002621b8 ]
CPU3  9981392759216 (+ )  rtds:job_release   [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa3fab34cf, cur_budget = 0x00000000002621b8 ]
CPU3  9981392759987 (+ )  rtds:job_release   [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa3fab3d34, cur_budget = 0x00000000002621b8 ]
CPU3  9981426508556 (+ )  rtds:job_release   [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa4043b7e9, cur_budget = 0x00000000002621b8 ]
CPU3  9981426680641 (+ )  rtds:job_release   [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa4043c2d4, cur_budget = 0x00000000002621b8 ]
CPU3  9981426681152 (+ )  rtds:job_release   [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa4043cb4f, cur_budget = 0x00000000002621b8 ]
CPU3  9981426681747 (+ )  rtds:job_release   [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4043d3b4, cur_budget = 0x00000000002621b8 ]
